ID,Name,Status
1,Asha,Present
2,Rahul,Present
3,Meena,Absent
4,Arjun,Present
5,Neha,Absent
6,Kiran,Present
7,Anil,Present
8,Pooja,Absent
9,Deepa,Present
10,Ravi,Present
11,Varun,Absent
12,Sneha,Present
13,Ramesh,Present
14,Divya,Absent
15,Karthik,Present
16,Suma,Absent
17,Manoj,Present
18,Harsha,Present
19,Nikhil,Absent
20,Swathi,Present
21,Anmit,Present
22,Keerthi,Absent
23,Prakash,Present
24,Lakshmi,Present
25,Santhosh,Absent
26,Gowri,Present
27,Ajay,Present
28,Bhavya,Absent
29,Rohith,Present
30,Priya,Present
